Localidad,Observaciones,Positivos,Prevalencia,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP,Score_Min,Score_Medio,Score_Mediana,Score_P95,Score_Max,Alertas_Umbral_Seleccionado,Volumen_Historico_2018_2022
SANTA FE,2924,832,0.28454172366621067,0.4834321590512731,0.6206053969333726,0.35355894677711447,0.34054054054054056,0.8329326923076923,0.35850860420650094,0.5957206482570966,0.28025078072611226,0.6959644322845417,750,1342,139,693,0.15856612440718482,0.5714764147097757,0.6137857629294914,0.7368993541403497,0.8037411445380136,2035,1980
LOS MÁRTIRES,2924,762,0.2606019151846785,0.46964490263459335,0.6473594853603521,0.34045727307551477,0.33117932148626816,0.8070866141732284,0.425531914893617,0.6163092645334227,0.2783899701595995,0.6350889192886456,920,1242,147,615,0.2056735494468959,0.5669952494222212,0.621570307275341,0.7398402241057909,0.8006441284733031,1857,2070
RAFAEL URIBE URIBE,2924,641,0.2192202462380301,0.4597107438016529,0.6961209591616253,0.3494312508816969,0.3436293436293436,0.6942277691107644,0.627682873412177,0.6609553212614707,0.23319358244036278,0.4428864569083447,1433,850,196,445,0.206275634844677,0.49276006729509386,0.45950566065451653,0.7213636456877376,0.7822853038974856,1295,2262
CHAPINERO,2924,758,0.259233926128591,0.4557137895102466,0.6255901958061381,0.3345443783562687,0.30928807166430927,0.8654353562005277,0.3236380424746076,0.5945366993375676,0.29022076535113334,0.7253761969904241,701,1465,102,656,0.22210046162570782,0.5804299172439579,0.6140626098771367,0.7513835689568674,0.8321196188833474,2121,2130
USME,2924,768,0.26265389876880985,0.4494301994301994,0.6016932518746135,0.31561539741098743,0.3093137254901961,0.8216145833333334,0.3464749536178108,0.5840447684755721,0.2647631039899379,0.6976744186046512,747,1409,137,631,0.2091543327787805,0.5381918466104102,0.569197573813879,0.6554745617813285,0.7060082870474916,2040,1745
ENGATIVÁ,2924,775,0.2650478796169631,0.44163618224143664,0.6080943874870532,0.3386828000066471,0.2974910394265233,0.8567741935483871,0.2703583061889251,0.5635662498686561,0.29485961926665105,0.7633378932968536,581,1568,111,664,0.3097862008890832,0.5886851977976902,0.6041257887076629,0.7367547764561811,0.8092800321685958,2232,5518
TUNJUELITO,2924,713,0.24384404924760603,0.42322764517278233,0.6216539386454188,0.3220611760131882,0.2836676217765043,0.8330995792426368,0.32157394843962006,0.5773367638411284,0.2942160730596021,0.7161422708618331,711,1500,119,594,0.20291362452793482,0.5796475550011013,0.6303703958669866,0.7268624594108065,0.8204540741846326,2094,2156
USAQUÉN,2924,616,0.2106703146374829,0.41517857142857145,0.6741781831686511,0.3474387373775981,0.3163265306122449,0.6038961038961039,0.6516464471403813,0.6277712755182426,0.23927954442311017,0.4021887824897401,1504,804,244,372,0.19170033214242976,0.4988691719572905,0.4853719061943722,0.7182968731248823,0.7716786372883252,1176,3372
SUBA,2924,724,0.2476060191518468,0.4106222750693619,0.5940265570065294,0.30048252530392516,0.28793774319066145,0.7154696132596685,0.4177272727272727,0.5665984429934706,0.26884565390217985,0.6152530779753762,919,1281,206,518,0.24784302055696655,0.5392940123184836,0.5478892933866123,0.6810143608044711,0.7367947747425928,1799,4980
SAN CRISTÓBAL,2924,481,0.16450068399452805,0.4084033613445378,0.7006981634488798,0.31385489973688563,0.3427362482369535,0.5051975051975052,0.809250920998772,0.6572242130981386,0.19524560480947195,0.24247606019151846,1977,466,238,243,0.148578106273124,0.42214841585233787,0.37014242169155387,0.7240876151634779,0.7863829159684177,709,2596
TEUSAQUILLO,2924,489,0.16723666210670315,0.38961038961038963,0.6887496168268645,0.30486340147212765,0.33783783783783783,0.4601226993865031,0.8188911704312115,0.6395069349088573,0.19431901064085474,0.22777017783857728,1994,441,264,225,0.14466318749018045,0.4177286854843014,0.39272070511486223,0.6737025033979906,0.7193843828745363,666,2444
BARRIOS UNIDOS,2924,385,0.13166894664842682,0.35772357723577236,0.6776192692695253,0.2392547827689608,0.2938230383973289,0.45714285714285713,0.8333989759747932,0.6452709165588252,0.17926391001709968,0.2048563611491108,2116,423,209,176,0.11181590716026475,0.3880991286142303,0.35125074845484106,0.680676495638077,0.7383636880169394,599,2356
ANTONIO NARIÑO,2924,558,0.1908344733242134,0.35559336452573376,0.6083040202146902,0.24892698468235513,0.2331288343558282,0.7491039426523297,0.4188503803888419,0.5839771615205858,0.26082088482916194,0.6132010943912448,991,1375,140,418,0.19307658704935707,0.5164680530655622,0.5593874129380428,0.6518027451887574,0.7009565923827337,1793,1614
PUENTE ARANDA,2924,580,0.19835841313269495,0.34111895708853884,0.608212457337884,0.2660813510267799,0.24900872323552736,0.5413793103448276,0.5959897610921502,0.5686845357184889,0.24345338534836844,0.43125854993160057,1397,947,266,314,0.2086535458334038,0.49434203551122674,0.508397446395639,0.6316685389655707,0.7258171379514278,1261,4257
BOSA,2924,596,0.20383036935704515,0.337995337995338,0.575770385041168,0.25457874644415984,0.25892857142857145,0.4865771812080537,0.6434707903780069,0.5650239857930304,0.24955312404161417,0.38303693570451436,1498,830,306,290,0.2200512383946784,0.49982050298776964,0.5011270817390842,0.646985442017529,0.7350332411745943,1120,4332
KENNEDY,2924,494,0.1689466484268126,0.28399699474079637,0.5909160960330551,0.20969729118479785,0.22580645161290322,0.3825910931174089,0.7333333333333333,0.5579622132253711,0.21885604389993626,0.2862517099863201,1782,648,305,189,0.15787888949692497,0.4469536536314269,0.47017472494602885,0.587215278394076,0.6703939997082796,837,8246
FONTIBÓN,2924,464,0.15868673050615595,0.26448736998514116,0.6016715727502102,0.2080109315449308,0.2018140589569161,0.38362068965517243,0.7138211382113822,0.5487209139332773,0.22053916574088495,0.3016415868673051,1756,704,286,178,0.16545505500370447,0.4507324293077264,0.4684943212242029,0.6086222398349672,0.7150444929917764,882,3748
CIUDAD BOLÍVAR,2924,323,0.11046511627906977,0.2,0.6144266970431711,0.18450353378436618,0.2422907488986784,0.17027863777089783,0.9338715878508266,0.5520751128108622,0.16911112101581555,0.07763337893296854,2429,172,268,55,0.15628973378722247,0.3754035497839078,0.3625926278991127,0.5486246758912207,0.6886727798863542,227,3202
SUMAPAZ,2924,2,0.0006839945280437756,0.0,0.3151950718685832,0.0007290205826286309,0.0,0.0,1.0,0.5,0.0010237673667214398,0.0,2922,0,2,0,0.003393335932785626,0.013205200262188625,0.008953908189034852,0.031859772752242825,0.1964896834458143,0,8
CANDELARIA,2924,157,0.05369357045143639,0.0,0.5672668552710632,0.061829829125735515,0.0,0.0,1.0,0.5,0.06556022906146608,0.0,2767,0,157,0,0.03230708030636006,0.16648022523148145,0.1708586754144288,0.26181165133041645,0.32274427855588733,0,272
